INSTNM,STABBR
Capital Area Technical College,LA
Bossier Parish Community College,LA
Cameron College,LA
Centenary College of Louisiana,LA
Cloyd's Beauty School 1 Inc,LA
Crescent City Bartending School,LA
D'Jay's School of Beauty Arts and Sciences,LA
Delgado Community College,LA
Delta School of Business and Technology,LA
Demmons School of Beauty,LA
Denham Springs Beauty School,LA
Dillard University,LA
Nunez Community College,LA
Grambling State University,LA
Guy's Shreveport Academy of Cosmetology Inc,LA
ITI Technical College,LA
John Jay Beauty College,LA
John Jay Beauty College,LA
Louisiana State University Health Sciences Center-New Orleans,LA
Louisiana State University-Alexandria,LA
Louisiana State University and Agricultural & Mechanical College,LA
Louisiana State University-Eunice,LA
Louisiana State University-Shreveport,LA
Aveda Institute-Baton Rouge,LA
Aveda Institute-Lafayette,LA
Louisiana Academy of Beauty,LA
Louisiana College,LA
Opelousas School of Cosmetology,LA
Louisiana Tech University,LA
Loyola University New Orleans,LA
McNeese State University,LA
University of New Orleans,LA
Nicholls State University,LA
University of Louisiana at Monroe,LA
Northwest Louisiana Technical College,LA
Notre Dame Seminary Graduate School of Theology,LA
Northwestern State University of Louisiana,LA
University of Holy Cross,LA
Our Lady of the Lake College,LA
Pat Goins Benton Road Beauty School,LA
Celebrity Stylist Beauty School,LA
Pat Goins Ruston Beauty School,LA
Pineville Beauty School,LA
Aveda Institute-Covington,LA
Saint Joseph Seminary College,LA
Vanguard College of Cosmetology-Slidell,LA
South Louisiana Beauty College,LA
Fletcher Technical Community College,LA
Remington College-Lafayette Campus,LA
SOWELA Technical Community College,LA
Stevensons Academy of Hair Design,LA
Southeastern Louisiana University,LA
Southern University and A & M College,LA
Southern University at New Orleans,LA
Southern University at Shreveport,LA
University of Louisiana at Lafayette,LA
Northshore Technical Community College,LA
Tulane University of Louisiana,LA
Xavier University of Louisiana,LA
South Central Louisiana Technical College,LA
Kaplan University-Maine Campus,ME
College of the Atlantic,ME
Bates College,ME
Beal College,ME
Bowdoin College,ME
Maine College of Health Professions,ME
Central Maine Community College,ME
Colby College,ME
Eastern Maine Community College,ME
Husson University,ME
Kennebec Valley Community College,ME
The Landing School,ME
University of Maine at Augusta,ME
University of Maine at Farmington,ME
University of Maine at Fort Kent,ME
University of Maine at Machias,ME
University of Maine,ME
Maine Maritime Academy,ME
University of Maine at Presque Isle,ME
University of New England,ME
Northern Maine Community College,ME
Empire Beauty School-Maine,ME
Maine College of Art,ME
Saint Joseph's College of Maine,ME
Spa Tech Institute-Westbrook,ME
Southern Maine Community College,ME
University of Southern Maine,ME
Thomas College,ME
Unity College,ME
Washington County Community College,ME
Aaron's Academy of Beauty,MD
Aesthetics Institute of Cosmetology,MD
Allegany College of Maryland,MD
Anne Arundel Community College,MD
Brightwood College-Towson,MD
Award Beauty School,MD
Baltimore Studio of Hair Design,MD
Baltimore City Community College,MD
University of Baltimore,MD
Bowie State University,MD
Capitol Technology University,MD
Cecil College,MD
College of Southern Maryland,MD
Chesapeake College,MD
Washington Adventist University,MD
Coppin State University,MD
Delmarva Beauty Academy,MD
North American Trade Schools,MD
Frederick Community College,MD
Frostburg State University,MD
Garrett College,MD
Goucher College,MD
Kaplan University-Hagerstown Campus,MD
Hagerstown Community College,MD
Harford Community College,MD
Hood College,MD
Howard Community College,MD
The Colorlab Academy of Hair,MD
Johns Hopkins University,MD
L'Academie de Cuisine,MD
Lincoln College of Technology-Columbia,MD
Loyola University Maryland,MD
Maryland Beauty Academy,MD
University of Maryland-University College,MD
University of Maryland  Baltimore,MD
University of Maryland-Baltimore County,MD
University of Maryland-College Park,MD
Maryland Institute College of Art,MD
University of Maryland Eastern Shore,MD
Fortis Institute-Towson,MD
Montgomery Beauty School,MD
Montgomery College,MD
Morgan State University,MD
Mount St Mary's University,MD
Ner Israel Rabbinical College,MD
Hair Academy Inc-New Carrollton,MD
Notre Dame of Maryland University,MD
Prince George's Community College,MD
Brightwood College-Baltimore,MD
Robert Paul Academy of Cosmetology Arts & Sciences,MD
Maryland Beauty Academy of Essex,MD
Salisbury University,MD
St Mary's College of Maryland,MD
Sojourner-Douglass College,MD
St John's College,MD
Brightwood College-Beltsville,MD
Towson University,MD
Maryland University of Integrative Health,MD
International Beauty School,MD
Stevenson University,MD
Washington College,MD
McDaniel College,MD
Wor-Wic Community College,MD
Hult International Business School,MA
New England College of Business and Finance,MA
American International College,MA
Amherst College,MA
Andover Newton Theological School,MA
Anna Maria College,MA
Assabet Valley Regional Technical School,MA
Assumption College,MA
Babson College,MA
Bancroft School of Massage Therapy,MA
Boston Baptist College,MA
Bay Path University,MA
Bay State College,MA
Bay State School of Technology,MA
Becker College,MA
Bentley University,MA
Berklee College of Music,MA
Berkshire Community College,MA
Empire Beauty School-Boston,MA
Boston Architectural College,MA
Boston Graduate School of Psychoanalysis Inc,MA
Boston College,MA
The Boston Conservatory,MA
Boston University,MA
Brandeis University,MA
Bridgewater State University,MA
Bristol Community College,MA
Signature Healthcare Brockton Hospital School of Nursing,MA
Bunker Hill Community College,MA
Cambridge College,MA
Cape Cod Community College,MA
Catherine Hinds Institute of Esthetics,MA
Laboure College,MA
Clark University,MA
Conway School of Landscape Design,MA
Curry College,MA
Lincoln Technical Institute-Somerville,MA
Dean College,MA
Diman Regional Technical Institute,MA
National Aviation Academy of New England,MA
Eastern Nazarene College,MA
Emerson College,MA
Emmanuel College,MA
Endicott College,MA
Episcopal Divinity School,MA
Rob Roy Academy-Fall River,MA
Fisher College,MA
Fitchburg State University,MA
Framingham State University,MA
Benjamin Franklin Institute of Technology,MA
Gordon College,MA
Gordon-Conwell Theological Seminary,MA
Greenfield Community College,MA
Hallmark Institute of Photography,MA
Hampshire College,MA
Harvard University,MA
Hebrew College,MA
Hellenic College-Holy Cross Greek Orthodox School of Theology,MA
Henris School of Hair Design,MA
College of the Holy Cross,MA
Holyoke Community College,MA
Kay Harvey Academy of Hair Design,MA
La Baron Hairdressing Academy-Brockton,MA
La Baron Hairdressing Academy-New Bedford,MA
Lasell College,MA
Lawrence Memorial Hospital School of Nursing,MA
Lesley University,MA
Lowell Academy Hairstyling Institute,MA
University of Massachusetts-Lowell,MA
Mansfield Beauty Schools-Springfield,MA
Mansfield Beauty Schools-Quincy,MA
Marian Court College,MA
University of Massachusetts-Amherst,MA
University of Massachusetts-Boston,MA
Massachusetts Bay Community College,MA
MCPHS University,MA
Massachusetts College of Art and Design,MA
Massachusetts Institute of Technology,MA
Massachusetts Maritime Academy,MA
University of Massachusetts Medical School Worcester,MA
William James College,MA
Massachusetts School of Barbering,MA
Massasoit Community College,MA
Merrimack College,MA
MGH Institute of Health Professions,MA
Middlesex Community College,MA
Montserrat College of Art,MA
Mount Holyoke College,MA
Mount Ida College,MA
Mount Wachusett Community College,MA
Cortiva Institute-Boston,MA
School of the Museum of Fine Arts-Boston,MA
Everest Institute-Brighton,MA
Rob Roy Academy-New Bedford,MA
The New England Conservatory of Music,MA
New England College of Optometry,MA
New England School of Acupuncture,MA
New England Law-Boston,MA
New England School of Photography,MA
Newbury College,MA
Nichols College,MA
Massachusetts College of Liberal Arts,MA
North Bennet Street School,MA
North Shore Community College,MA
The New England Institute of Art,MA
Northeastern University,MA
Northern Essex Community College,MA
College of Our Lady of the Elms,MA
Pine Manor College,MA
Pope St John XXIII National Seminary,MA
Quincy College,MA
Quinsigamond Community College,MA
Regis College,MA
Roxbury Community College,MA
Saint John's Seminary,MA
Salem State University,MA
Salter College-West Boylston,MA
Simmons College,MA
Bard College at Simon's Rock,MA
Smith College,MA
Southeastern Technical Institute,MA
Springfield College,MA
Springfield Technical Community College,MA
University of Massachusetts-Dartmouth,MA
Stonehill College,MA
Suffolk University,MA
Rob Roy Academy-Taunton,MA
Tufts University,MA
Wellesley College,MA
Wentworth Institute of Technology,MA
Western New England University,MA
Westfield State University,MA
Wheaton College,MA
Wheelock College,MA
Williams College,MA
Worcester Polytechnic Institute,MA
Worcester State University,MA
Adrian College,MI
Albion College,MI
Hillsdale Beauty College,MI
Northwestern Technological Institute,MI
Alma College,MI
Alpena Community College,MI
Andrews University,MI
Aquinas College,MI
Baker College of Owosso,MI
Baker College,MI
Bay de Noc Community College,MI
Bayshire Academy of Beauty Craft Inc,MI
Cadillac Institute of Cosmetology,MI
Calvin College,MI
Calvin Theological Seminary,MI
Carnegie Institute,MI
Michigan School of Professional Psychology,MI
Central Michigan University,MI
Mott Community College,MI
Empire Beauty School-Michigan,MI
Cleary University,MI
Cranbrook Academy of Art,MI
College for Creative Studies,MI
Davenport University,MI
David Pressley School of Cosmetology,MI
Delta College,MI
Detroit Business Institute-Downriver,MI
Michigan State University-College of Law,MI
MIAT College of Technology,MI
University of Detroit Mercy,MI
Dorsey Business Schools-Madison Heights,MI
Dorsey Business Schools-Southgate,MI
Eastern Michigan University,MI
Ferris State University,MI
Flint Institute of Barbering Inc,MI
Glen Oaks Community College,MI
Kettering University,MI
Gogebic Community College,MI
Grace Bible College,MI
Cornerstone University,MI
Everest Institute-Grand Rapids,MI
Grand Rapids Community College,MI
Grand Valley State University,MI
Great Lakes Christian College,MI
Henry Ford College,MI
Hope College,MI
ITT Technical Institute-Wyoming,MI
Jackson College,MI
Wright Beauty Academy,MI
Kalamazoo College,MI
Kalamazoo Valley Community College,MI
Kellogg Community College,MI
Kirtland Community College,MI
Michigan College of Beauty-Monroe,MI
Lake Michigan College,MI
Lake Superior State University,MI
Lansing Community College,MI
Lawrence Technological University,MI
M J Murphy Beauty College of Mount Pleasant,MI
Macomb Community College,MI
Madonna University,MI
Marygrove College,MI
Rochester College,MI
University of Michigan-Ann Arbor,MI
Michigan Barber School Inc,MI
Michigan State University,MI
Michigan Technological University,MI
University of Michigan-Dearborn,MI
University of Michigan-Flint,MI
Mid Michigan Community College,MI
Monroe County Community College,MI
Montcalm Community College,MI
Mr Bela's School of Cosmetology Inc,MI
Baker College of Muskegon,MI
Muskegon Community College,MI
Everest College-Skokie,IL
Everest Institute-Southfield,MI
North Central Michigan College,MI
Northern Michigan University,MI
Paul Mitchell the School-Escanaba,MI
Northwestern Michigan College,MI
Northwood University-Michigan,MI
Oakland Community College,MI
Oakland University,MI
Olivet College,MI
Port Huron Cosmetology College,MI
Kuyper College,MI
Ross Medical Education Center-Lansing,MI
Ross Medical Education Center-Madison Heights,MI
Ross Medical Education Center-Flint,MI
Sacred Heart Major Seminary,MI
Saginaw Valley State University,MI
Schoolcraft College,MI
Siena Heights University,MI
St Clair County Community College,MI
Southwestern Michigan College,MI
Specs Howard School of Media Arts,MI
Spring Arbor University,MI
Michigan Career and Technical Institute,MI
Finlandia University,MI
Western Michigan University-Thomas M. Cooley Law School,MI
Twin City Beauty College,MI
Walsh College of Accountancy and Business Administration,MI
Washtenaw Community College,MI
Wayne County Community College District,MI
Wayne State University,MI
West Shore Community College,MI
Excel Academies of Cosmetology-Kentwood,MI
Western Michigan University,MI
Western Theological Seminary,MI
Wright Beauty Academy,MI
Academy College,MN
Alexandria Technical & Community College,MN
American Indian OIC Inc,MN
Anoka Technical College,MN
Anoka-Ramsey Community College,MN
Augsburg College,MN
Riverland Community College,MN
Northwest Technical College,MN
Bemidji State University,MN
Bethany Lutheran College,MN
Bethel University,MN
Bethel Seminary-St Paul,MN
Central Lakes College-Brainerd,MN
Carleton College,MN
Concordia College at Moorhead,MN
Concordia University-Saint Paul,MN
Dakota County Technical College,MN
Martin Luther College,MN
Lake Superior College,MN
Cosmetology Careers Unlimited College of Hair Skin and Nails,MN
Duluth Business University,MN
Minnesota State Community and Technical College,MN
Globe University-Woodbury,MN
Minnesota West Community and Technical College,MN
Gustavus Adolphus College,MN
Hamline University,MN
Hazelden Betty Ford Graduate School of Addiction Studies,MN
Hennepin Technical College,MN
Cosmetology Careers Unlimited College of Hair Skin and Nails,MN
Hibbing Community College,MN
Aveda Institute-Minneapolis,MN
Inver Hills Community College,MN
Itasca Community College,MN
The Art Institutes International-Minnesota,MN
Luther Seminary,MN
Macalester College,MN
South Central College,MN
Minnesota State University-Mankato,MN
Regency Beauty Institute-Blaine,MN
Mayo Medical School,MN
Mayo School of Health Sciences,MN
Argosy University-Twin Cities,MN
Mesabi Range College,MN
Metropolitan State University,MN
University of Minnesota-Twin Cities,MN
University of Minnesota-Crookston,MN
Minneapolis Business College,MN
Minneapolis College of Art and Design,MN
Minneapolis Community and Technical College,MN
Herzing University-Minneapolis,MN
Minnesota School of Cosmetology-Woodbury Campus,MN
Crossroads College,MN
University of Minnesota-Duluth,MN
University of Minnesota-Morris,MN
Minnesota School of Business-Richfield,MN
Model College of Hair Design,MN
Minnesota State University Moorhead,MN
North Hennepin Community College,MN
National American University-Roseville,MN
Sanford-Brown College-Mendota Heights,MN
Normandale Community College,MN
North Central University,MN
Northland Community and Technical College,MN
University of Northwestern-St Paul,MN
Northwestern Health Sciences University,MN
Oak Hills Christian College,MN
Regency Beauty Institute-Burnsville,MN
Pine Technical & Community College,MN
Rainy River Community College,MN
Rochester Community and Technical College,MN
College of Saint Benedict,MN
St Cloud Technical and Community College,MN
Regency Beauty Institute-St Cloud,MN
Saint Cloud State University,MN
Saint Johns University,MN
Saint Mary's University of Minnesota,MN
St Olaf College,MN
Crown College,MN
The College of Saint Scholastica,MN
University of St Thomas,MN
Empire Beauty School-Bloomington,MN
St Catherine University,MN
Rasmussen College-Minnesota,MN
Saint Paul College,MN
Southwest Minnesota State University,MN
Summit Academy Opportunities Industrialization Center,MN
United Theological Seminary of the Twin Cities,MN
Vermilion Community College,MN
Dunwoody College of Technology,MN
Ridgewater College,MN
Minnesota State College-Southeast Technical,MN
Winona State University,MN
William Mitchell College of Law,MN
Century College,MN
Alcorn State University,MS
Belhaven University,MS
Blue Mountain College,MS
Chris Beauty College,MS
Coahoma Community College,MS
Antonelli College-Jackson,MS
Copiah-Lincoln Community College,MS
Creations College of Cosmetology,MS
Delta Beauty College,MS
Delta State University,MS
East Central Community College,MS
East Mississippi Community College,MS
Fosters Cosmetology College,MS
Academy of Hair Design-Grenada,MS
Hinds Community College,MS
Holmes Community College,MS
Itawamba Community College,MS
Jackson State University,MS
Jones County Junior College,MS
Meridian Community College,MS
Millsaps College,MS
Mississippi Delta Community College,MS
University of Mississippi,MS
Mississippi University for Women,MS
Mississippi Valley State University,MS
Mississippi College,MS
Mississippi College of Beauty Culture,MS
Mississippi Gulf Coast Community College,MS
Mississippi State University,MS
Northeast Mississippi Community College,MS
Northwest Mississippi Community College,MS
Pearl River Community College,MS
Rust College,MS
Southeastern Baptist College,MS
Southwest Mississippi Community College,MS
University of Southern Mississippi,MS
Magnolia College of Cosmetology,MS
Tougaloo College,MS
Wesley Biblical Seminary,MS
William Carey University,MS
Aquinas Institute of Theology,MO
Assemblies of God Theological Seminary,MO
Avila University,MO
ITT Technical Institute-Earth City,MO
Baptist Bible College,MO
House of Heavilin Beauty College-Blue Springs,MO
Cox College,MO
Calvary Bible College and Theological Seminary,MO
Cape Girardeau Career and Technology Center,MO
Central Christian College of the Bible,MO
Central Methodist University-College of Liberal Arts and Sciences,MO
University of Central Missouri,MO
Grand River Technical School,MO
Chillicothe Beauty Academy Inc,MO
Cleveland University-Kansas City,KS
Columbia Area Career Center,MO
Columbia College,MO
Conception Seminary College,MO
Concordia Seminary,MO
Cottey College,MO
Covenant Theological Seminary,MO
Crowder College,MO
Culver-Stockton College,MO
Drury University,MO
East Central College,MO
Eden Theological Seminary,MO
Elaine Steven Beauty College,MO
Pinnacle Career Institute-South Kansas City,MO
Evangel University,MO
Fontbonne University,MO
Forest Institute of Professional Psychology,MO
Four Rivers Career Center,MO
Ozarks Technical Community College,MO
Hannibal-LaGrange University,MO
Harris-Stowe State University,MO
Hickey College,MO
House of Heavilin Beauty College-Kansas City,MO
Independence College of Cosmetology,MO
Jefferson College,MO
Paul Mitchell the School-Missouri Columbia,MO
Barnes-Jewish College Goldfarb School of Nursing,MO
Kansas City Art Institute,MO
Kenrick Glennon Seminary,MO
A T Still University of Health Sciences,MO
Lake Career and Technical Center,MO
Lex La-Ray Technical Center,MO
Lincoln University,MO
Lindenwood University,MO
State Technical College of Missouri,MO
Logan University,MO
Metropolitan Community College-Kansas City,MO
Lutheran School of Nursing,MO
Maryville University of Saint Louis,MO
Merrell University of Beauty Arts and Science,MO
Metro Business College-Cape Girardeau,MO
Midwest Institute,MO
Midwestern Baptist Theological Seminary,MO
Mineral Area College,MO
Westwood College-O'Hare Airport,IL
Missouri Baptist University,MO
National Academy of Beauty Arts-Farmington,MO
Missouri College,MO
Missouri School of Barbering & Hairstyling-St. Louis,MO
Missouri Southern State University,MO
Missouri Tech,MO
Missouri Valley College,MO
Missouri Western State University,MO
University of Missouri-Columbia,MO
University of Missouri-Kansas City,MO
Missouri University of Science and Technology,MO
University of Missouri-St Louis,MO
Moberly Area Community College,MO
Hillyard Technical Center,MO
National Academy of Beauty Arts-St Louis,MO
Nazarene Theological Seminary,MO
Neosho Beauty College,MO
Truman State University,MO
Northwest Missouri State University,MO
Ozark Christian College,MO
College of the Ozarks,MO
Park University,MO
Stevens-The Institute of Business & Arts,MO
Poplar Bluff Technical Career Center,MO
Ranken Technical College,MO
Research College of Nursing,MO
Rockhurst University,MO
Rolla Technical Institute/Center,MO
Everest College-Springfield,MO
Saint Louis University,MO
Salem College of Hairstyling,MO
Sanford-Brown College-Fenton,MO
American College of Hair Design Inc,MO
Sikeston Career and Technology Center,MO
Saint Louis Christian College,MO
St Louis College of Pharmacy,MO
Saint Louis Community College,MO
Saint Paul School of Theology,KS
Southwest Baptist University,MO
Missouri State University-West Plains,MO
Saint Luke's College of Health Sciences,MO
St Louis College of Health Careers-St Louis,MO
State Fair Community College,MO
Stephens College,MO
Southeast Missouri State University,MO
Missouri State University-Springfield,MO
Three Rivers Community College,MO
North Central Missouri College,MO
Truman Medical Center School of Nurse Anesthesia,MO
Kansas City University of Medicine and Biosciences,MO
Washington University in St Louis,MO
Webster University,MO
Wentworth Military Academy and College,MO
Westminster College,MO
William Jewell College,MO
William Woods University,MO
Academy of Cosmetology,MT
Blackfeet Community College,MT
Butte Academy of Beauty Culture,MT
Highlands College of Montana Tech,MT
Crevier's Academy of Cosmetology Arts,MT
Carroll College,MT
Dawson Community College,MT
Chief Dull Knife College,MT
Montana State University-Billings,MT
Flathead Valley Community College,MT
Aaniiih Nakoda College,MT
Fort Peck Community College,MT
Great Falls College Montana State University,MT
University of Great Falls,MT
Helena College University of Montana,MT
Little Big Horn College,MT
Miles Community College,MT
Modern Beauty School Inc,MT
Montana Tech of the University of Montana,MT
Montana State University,MT
The University of Montana,MT
Montana State University-Northern,MT
Rocky Mountain College,MT
Salish Kootenai College,MT
The University of Montana-Western,MT
La'James International College,NE
Bellevue University,NE
Clarkson College,NE
Bryan College of Health Sciences,NE
Central Community College,NE
Chadron State College,NE
College of Hair Design-Downtown,NE
Concordia University-Nebraska,NE
Creighton University,NE
Doane University-Arts & Sciences,NE
Grace University,NE
Hastings College,NE
CHI Health School of Radiologic Technology,NE
Joseph's College Cosmetology,NE
University of Nebraska at Kearney,NE
Kaplan University-Lincoln Campus,NE
Nebraska Methodist College of Nursing & Allied Health,NE
Metropolitan Community College Area,NE
Mid-Plains Community College,NE
Midland University,NE
Nebraska Christian College,NE
University of Nebraska at Omaha,NE
Kaplan University-Omaha Campus,NE
Nebraska Indian Community College,NE
University of Nebraska Medical Center,NE
Nebraska Wesleyan University,NE
University of Nebraska-Lincoln,NE
Northeast Community College,NE
Peru State College,NE
College of Saint Mary,NE
Southeast Community College Area,NE
Union College,NE
Vatterott College-Spring Valley,NE
Nebraska College of Technical Agriculture,NE
Wayne State College,NE
Regional West Medical Center School of Radiologic Technology,NE
Western Nebraska Community College,NE
York College,NE
Academy of Hair Design-Las Vegas,NV
Career College of Northern Nevada,NV
College of Southern Nevada,NV
The Art Institute of Las Vegas,NV
Everest College-Henderson,NV
Marinello Schools of Beauty-Las Vegas,NV
University of Nevada-Las Vegas,NV
University of Nevada-Reno,NV
Great Basin College,NV
Marinello Schools of Beauty-Reno,NV
Sierra Nevada College,NV
Truckee Meadows Community College,NV
Western Nevada College,NV
Colby-Sawyer College,NH
Continental Academie of Hair Design-Hudson,NH
Daniel Webster College,NH
Dartmouth College,NH
Empire Beauty School-Laconia,NH
Empire Beauty School-Somersworth,NH
Franklin Pierce University,NH
University of New Hampshire-School of Law,NH
Mount Washington College,NH
Keene Beauty Academy,NH
Northeast Catholic College,NH
Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School,NH
New England College,NH
New England School of Hair Design,NH
Southern New Hampshire University,NH
New Hampshire Institute for Therapeutic Arts,NH
University of New Hampshire-Main Campus,NH
Keene State College,NH
University of New Hampshire at Manchester,NH
Plymouth State University,NH
NHTI-Concord's Community College,NH
White Mountains Community College,NH
River Valley Community College,NH
Lakes Region Community College,NH
Manchester Community College,NH
Nashua Community College,NH
Great Bay Community College,NH
Paul Mitchell the School-Portsmouth,NH
Rivier University,NH
Saint Anselm College,NH
St Joseph School of Nursing,NH
Granite State College,NH
Thomas More College of Liberal Arts,NH
Eastwick College-Hackensack,NJ
Atlantic Cape Community College,NJ
Fortis Institute-Wayne,NJ
Bergen Community College,NJ
Berkeley College-Woodland Park,NJ
Beth Medrash Govoha,NJ
Bloomfield College,NJ
Brookdale Community College,NJ
Rowan College at Burlington County,NJ
Caldwell University,NJ
Camden County College,NJ
Centenary College,NJ
Adult and Continuing Education-BCTS,NJ
Branford Hall Career Institute-Parsippany,NJ
Lincoln Technical Institute-Edison,NJ
American Institute-Clifton,NJ
Empire Beauty School-Ocean,NJ
Cooper Health System Center for Allied Health Education,NJ
County College of Morris,NJ
Cumberland County College,NJ
Divers Academy International,NJ
Drake College of Business-Elizabeth,NJ
Drew University,NJ
duCret School of Arts,NJ
Lincoln Technical Institute-South Plainfield,NJ
Essex County College,NJ
Empire Beauty School-Union,NJ
Fairleigh Dickinson University-Metropolitan Campus,NJ
Felician University,NJ
Fairleigh Dickinson University-College at Florham,NJ
Hohokus School of Trade and Technical Sciences,NJ
Georgian Court University,NJ
Rowan University,NJ
Rowan College at Gloucester County,NJ
Empire Beauty School-Cherry Hill,NJ
Harris School of Business-Cherry Hill Campus,NJ
Eastwick College-Ramsey,NJ
Holy Name Medical Center School of Nursing,NJ
Hudson County Community College,NJ
New Jersey City University,NJ
Joe Kubert School of Cartoon and Graphic Art,NJ
Kean University,NJ
Harris School of Business-Voorhees Campus,NJ
Lincoln Technical Institute-Union,NJ
Rizzieri Aveda School for Beauty and Wellness,NJ
Mercer County Community College,NJ
Middlesex County College,NJ
Monmouth University,NJ
Montclair State University,NJ
HackensackUMC Mountainside School of Nursing,NJ
JFK Muhlenberg Harold B & Dorothy A Snyder Schools-School of Nursing,NJ
Eastwick College-Nutley,NJ
Empire Beauty School-Jersey City,NJ
New Brunswick Theological Seminary,NJ
Robert Fiance Beauty Schools-West New York,NJ
New Jersey Institute of Technology,NJ
Ocean County College,NJ
P B Cosmetology Education Center,NJ
Parisian Beauty School,NJ
Passaic County Community College,NJ
Pennco Tech-Blackwood,NJ
Princeton Theological Seminary,NJ
Princeton University,NJ
Rabbinical College of America,NJ
Ramapo College of New Jersey,NJ
Robert Fiance Beauty Schools-Perth Amboy,NJ
Rider University,NJ
Roman Academy of Beauty Culture,NJ
Rutgers University-Camden,NJ
Rutgers University-New Brunswick,NJ
Rutgers University-Newark,NJ
St Francis Medical Center-School of Radiologic Technology,NJ
Saint Francis Medical Center School of Nursing,NJ
Saint Peter's University,NJ
Salem Community College,NJ
Seton Hall University,NJ
Atlantic Beauty & Spa Academy LLC,NJ
College of Saint Elizabeth,NJ
Raritan Valley Community College,NJ
Stevens Institute of Technology,NJ
Stockton University,NJ
Talmudical Academy-New Jersey,NJ
Teterboro School of Aeronautics,NJ
Thomas Edison State University,NJ
The College of New Jersey,NJ
Sanford-Brown Institute-Iselin,NJ
Union County College,NJ
William Paterson University of New Jersey,NJ
Olympian Academy of Cosmetology,NM
Central New Mexico Community College,NM
Navajo Technical University,NM
De Wolff College Hair Styling and Cosmetology,NM
New Mexico State University-Dona Ana,NM
Clovis Community College,NM
Eastern New Mexico University-Main Campus,NM
Eastern New Mexico University-Roswell Campus,NM
Institute of American Indian and Alaska Native Culture,NM
New Mexico Highlands University,NM
New Mexico Junior College,NM
New Mexico Military Institute,NM
University of New Mexico-Gallup Campus,NM
New Mexico Institute of Mining and Technology,NM
University of New Mexico-Los Alamos Campus,NM
University of New Mexico-Main Campus,NM
New Mexico State University-Alamogordo,NM
New Mexico State University-Carlsbad,NM
New Mexico State University-Grants,NM
New Mexico State University-Main Campus,NM
University of New Mexico-Valencia County Campus,NM
Northern New Mexico College,NM
San Juan College,NM
Santa Fe Community College,NM
Santa Fe University of Art and Design,NM
University of the Southwest,NM
Southwestern College,NM
Southwestern Indian Polytechnic Institute,NM
University of New Mexico-Taos Campus,NM
Mesalands Community College,NM
Vogue College of Cosmetology-Santa Fe,NM
Western New Mexico University,NM
Vaughn College of Aeronautics and Technology,NY
Adelphi University,NY
Adirondack Community College,NY
Globe Institute of Technology,NY
Bryant & Stratton College-Albany,NY
Albany College of Pharmacy and Health Sciences,NY
Albany Law School,NY
Albany Medical College,NY
Alfred University,NY
Allen School-Brooklyn,NY
The Ailey School,NY
American Academy of Dramatic Arts-New York,NY
American Academy McAllister Institute of Funeral Service,NY
Joffrey Ballet School,NY
American Musical and Dramatic Academy,NY
Apex Technical School,NY
Arnot Ogden Medical Center,NY
Associated Beth Rivkah Schools,NY
Austin's School of Spa Technology,NY
Bank Street College of Education,NY
Bard College,NY
Barnard College,NY
Berk Trade and Business School,NY
Berkeley College-New York,NY
Beth Hatalmud Rabbinical College,NY
Beth Hamedrash Shaarei Yosher Institute,NY
Phillips Beth Israel School of Nursing,NY
Hair Design Institute at Fifth Avenue-Brooklyn,NY
Boricua College,NY
Bramson ORT College,NY
Briarcliffe College,NY
Brittany Beauty School,NY
American Beauty School,NY
Brooklyn Law School,NY
SUNY Broome Community College,NY
Bryant & Stratton College-Amherst,NY
Bryant & Stratton College-Syracuse North,NY
Bryant & Stratton College-Syracuse,NY
Bryant & Stratton College-Buffalo,NY
Bryant & Stratton College-Greece,NY
Business Informatics Center Inc,NY
Canisius College,NY
Capri Cosmetology Learning Centers,NY
St Paul's School of Nursing-Queens,NY
Cayuga County Community College,NY
Cazenovia College,NY
Central Yeshiva Tomchei Tmimim Lubavitz,NY
Cheryl Fells School of Business,NY
Christ the King Seminary,NY
Christine Valmy International School for Esthetics  Skin Care & Makeup,NY
Circle in the Square Theater School,NY
Clarkson University,NY
Clinton Community College,NY
Cochran School of Nursing,NY
Colgate Rochester Crozer Divinity School,NY
Colgate University,NY
Metropolitan College of New York,NY
Columbia University in the City of New York,NY
Columbia-Greene Community College,NY
Empire Beauty School-Queens,NY
Concordia College-New York,NY
Continental School of Beauty Culture-Buffalo,NY
Continental School of Beauty Culture-Batavia,NY
Continental School of Beauty Culture-Rochester,NY
Cooper Union for the Advancement of Science and Art,NY
Cornell University,NY
Weill Cornell Medical College,NY
Corning Community College,NY
Pomeroy College of Nursing at Crouse Hospital,NY
Culinary Institute of America,NY
CUNY Bernard M Baruch College,NY
CUNY Borough of Manhattan Community College,NY
CUNY Bronx Community College,NY
CUNY Brooklyn College,NY
College of Staten Island CUNY,NY
CUNY City College,NY
CUNY Graduate School and University Center,NY
CUNY Hostos Community College,NY
CUNY Hunter College,NY
CUNY John Jay College of Criminal Justice,NY
CUNY Kingsborough Community College,NY
CUNY LaGuardia Community College,NY
CUNY Lehman College,NY
CUNY Medgar Evers College,NY
CUNY New York City College of Technology,NY
CUNY Queens College,NY
CUNY Queensborough Community College,NY
CUNY School of Law,NY
CUNY York College,NY
CVPH Medical Center School of Radiologic Technology,NY
D'Youville College,NY
Daemen College,NY
